,Risk
53529,3.51
53530,2.81
53531,2.71
53532,2.41
53533,2.56
53534,3.05
53535,2.81
53536,1.98
53537,2.66
53538,2.81
53539,2.65
53540,2.83
53541,4.22
53542,2.56
53543,3.1
53544,2.48
53545,1.76
53546,2.27
53547,3.29
53548,4.16
53549,2.08
53550,1.89
53551,3.0
53552,1.52
53553,1.49
53554,2.26
53555,2.33
53556,2.62
53557,2.42
53558,3.14
53559,2.46
53560,3.51
53561,3.04
53562,1.63
53563,1.45
53564,2.31
53565,2.15
53566,2.59
53567,2.36
53568,2.38
53569,2.81
53570,2.08
53571,2.11
53572,2.22
53573,2.69
53574,3.58
53575,2.77
53576,2.7
53577,2.92
53578,3.06
53579,2.96
53580,3.04
53581,2.09
53582,2.48
53583,2.39
53584,3.61
53585,3.08
53586,1.91
53587,2.76
53588,3.44
53589,2.53
53590,3.5
53591,1.98
53592,2.71
53593,2.07
53594,2.45
53595,3.81
53596,2.83
53597,3.24
53598,2.98
53599,3.16
53600,2.62
53601,3.54
53602,2.66
53603,2.91
53604,2.65
53605,3.61
53606,2.52
53607,2.25
53608,2.67
53609,1.92
53610,2.34
53611,3.26
53612,3.18
53613,3.07
53614,2.94
53615,3.08
53616,3.5
53617,3.28
53618,2.68
53619,2.35
53620,3.0
53621,2.89
53622,1.92
53623,2.32
53624,1.72
53625,2.77
53626,2.44
53627,2.79
53628,2.02
53629,3.07
53630,3.25
53631,1.93
53632,1.67
53633,2.44
53634,2.93
53635,2.98
53636,2.38
53637,1.96
53638,2.25
53639,3.18
53640,2.47
53641,2.16
53642,2.51
53643,2.52
53644,3.35
53645,2.38
53646,1.69
53647,3.31
53648,2.53
53649,3.32
53650,1.88
53651,2.51
53652,2.18
53653,2.25
53654,2.68
53655,2.31
53656,2.43
53657,3.16
53658,1.68
53659,2.09
53660,2.86
53661,3.37
53662,2.18
53663,2.53
53664,2.09
53665,2.48
53666,2.81
53667,2.36
53668,0.87
53669,2.39
53670,2.37
53671,2.07
53672,3.73
53673,2.16
53674,3.16
53675,2.91
53676,3.24
53677,2.64
53678,3.02
53679,3.59
53680,2.37
53681,2.11
53682,2.69
53683,2.37
53684,2.46
53685,3.1
53686,2.63
53687,3.3
53688,2.47
53689,1.95
53690,2.75
53691,2.8
53692,3.03
53693,2.55
53694,2.59
53695,2.8
53696,2.83
53697,2.82
53698,2.38
53699,2.18
53700,3.28
53701,2.68
53702,2.51
53703,3.1
53704,2.66
53705,2.94
53706,2.45
53707,2.77
53708,1.92
53709,2.33
53710,3.66
53711,2.62
53712,2.29
53713,2.34
53714,1.84
53715,1.66
53716,2.12
53717,2.9
53718,3.05
53719,2.84
53720,3.34
53721,3.2
53722,2.09
53723,2.64
53724,2.47
53725,2.44
53726,2.93
53727,1.95
53728,2.92
53729,2.49
53730,2.96
53731,1.9
53732,2.55
53733,2.41
53734,3.08
53735,2.55
53736,1.86
53737,3.05
53738,2.79
53739,2.0
53740,3.74
53741,3.06
53742,2.95
53743,2.48
53744,3.82
53745,2.37
53746,2.72
53747,2.89
53748,2.18
53749,3.56
53750,1.78
53751,2.49
53752,3.23
53753,1.56
53754,2.04
53755,1.77
53756,2.61
53757,2.2
53758,2.08
53759,2.44
53760,3.12
53761,2.55
53762,1.88
53763,2.56
53764,3.05
53765,3.44
53766,2.26
53767,2.07
53768,2.6
53769,2.53
53770,2.36
53771,3.19
53772,2.35
53773,1.62
53774,3.34
53775,1.97
53776,1.68
53777,3.8
53778,2.47
53779,2.07
53780,2.23
53781,3.03
53782,2.52
53783,2.74
53784,2.83
53785,2.14
53786,2.68
53787,2.51
53788,1.63
53789,2.79
53790,2.24
53791,2.44
53792,2.6
53793,2.64
53794,2.55
53795,2.58
53796,3.31
53797,2.99
53798,2.05
53799,2.23
53800,1.62
53801,1.91
53802,1.99
53803,2.6
53804,1.49
53805,1.75
53806,2.02
53807,2.88
53808,2.76
53809,3.39
53810,2.86
53811,2.28
53812,3.64
53813,1.9
53814,2.82
53815,2.25
53816,1.94
53817,3.28
53818,2.15
53819,2.59
53820,1.8
53821,2.66
53822,1.91
53823,2.28
53824,2.57
53825,3.0
53826,2.19
53827,2.35
53828,2.26
53829,2.49
53830,2.64
53831,2.09
53832,2.85
53833,2.05
53834,3.11
53835,2.08
53836,3.5
53837,2.47
53838,2.6
53839,2.49
53840,2.39
53841,3.09
53842,2.08
53843,3.32
53844,2.69
53845,3.26
53846,2.85
53847,3.15
53848,2.73
53849,2.61
53850,2.59
53851,2.46
53852,2.77
53853,2.74
53854,1.69
53855,2.93
53856,2.86
53857,2.94
53858,2.18
53859,2.19
53860,2.72
53861,2.25
53862,3.29
53863,2.16
53864,2.59
53865,3.28
53866,2.62
53867,2.46
53868,2.17
53869,1.58
53870,1.52
53871,2.67
53872,2.48
53873,2.18
53874,2.88
53875,2.14
53876,2.46
53877,2.46
53878,2.24
53879,2.44
53880,2.77
53881,3.54
53882,2.31
53883,3.26
53884,2.2
53885,2.98
53886,2.73
53887,1.63
53888,2.54
53889,3.16
53890,2.84
53891,2.49
53892,3.24
53893,2.67
53894,3.04
53895,2.57
53896,3.28
53897,2.59
53898,2.96
53899,2.1
53900,2.95
53901,1.99
53902,2.95
53903,1.61
53904,2.58
53905,2.49
53906,2.28
53907,2.18
53908,2.44
53909,2.53
53910,2.56
53911,2.76
53912,2.74
53913,2.89
53914,2.22
53915,2.16
53916,1.99
53917,1.32
53918,2.82
53919,2.91
53920,1.63
53921,3.8
53922,2.84
53923,1.97
53924,2.06
53925,2.73
53926,3.73
53927,2.37
53928,1.96
53929,2.23
53930,3.32
53931,2.28
53932,2.97
53933,2.61
53934,3.38
53935,2.25
53936,2.1
53937,2.23
53938,2.64
53939,3.43
53940,2.47
53941,2.77
53942,2.23
53943,2.28
53944,2.19
53945,2.99
53946,1.41
53947,2.14
53948,2.06
53949,3.04
53950,2.74
53951,2.79
53952,2.86
53953,2.72
53954,2.5
53955,2.23
53956,2.58
53957,2.69
53958,2.63
53959,2.14
53960,2.41
53961,3.25
53962,2.22
53963,2.36
53964,2.16
53965,3.34
53966,2.45
53967,2.44
53968,3.04
53969,1.49
53970,2.03
53971,2.09
53972,2.5
53973,2.49
53974,2.69
53975,2.02
53976,1.93
53977,2.93
53978,2.34
53979,2.04
53980,1.78
53981,1.87
53982,1.76
53983,1.87
53984,2.95
53985,2.06
53986,2.83
53987,3.26
53988,3.13
53989,2.82
53990,2.69
53991,2.42
53992,2.4
53993,2.5
53994,2.37
53995,2.76
53996,2.56
53997,3.38
53998,3.79
53999,2.23
54000,2.16
54001,2.05
54002,2.65
54003,2.65
54004,3.2
54005,2.07
54006,1.08
54007,2.69
54008,2.83
54009,2.58
54010,3.07
54011,2.95
54012,2.36
54013,3.13
54014,2.37
54015,3.09
54016,2.55
54017,3.06
54018,3.28
54019,3.28
54020,2.58
54021,2.6
54022,3.16
54023,3.08
54024,1.77
54025,1.81
54026,3.32
54027,2.86
54028,2.33
54029,2.37
54030,3.52
54031,2.87
54032,3.48
54033,2.7
54034,2.18
54035,3.05
54036,3.39
54037,2.68
54038,2.98
54039,2.98
54040,2.66
54041,2.56
54042,2.63
54043,2.21
54044,2.95
54045,2.95
54046,3.03
54047,3.56
54048,1.19
54049,3.07
54050,3.37
54051,2.88
54052,2.79
54053,2.67
54054,1.76
54055,2.79
54056,2.95
54057,2.52
54058,1.84
54059,2.8
54060,2.97
54061,2.23
54062,2.63
54063,2.43
54064,3.06
54065,3.13
54066,2.61
54067,1.26
54068,2.63
54069,3.03
54070,3.09
54071,2.56
54072,2.34
54073,2.2
54074,2.29
54075,2.52
54076,3.25
54077,2.11
54078,2.79
54079,2.39
54080,2.49
54081,3.74
54082,2.14
54083,1.47
54084,2.54
54085,2.72
54086,2.85
54087,2.95
54088,3.25
54089,2.43
54090,3.0
54091,2.69
54092,3.23
54093,2.76
54094,2.37
54095,1.48
54096,1.54
54097,2.13
54098,1.99
54099,2.86
54100,2.76
54101,2.11
54102,3.57
54103,2.9
54104,2.12
54105,2.22
54106,2.98
54107,2.46
54108,3.6
54109,1.93
54110,3.12
54111,2.76
54112,2.47
54113,2.31
54114,2.59
54115,2.41
54116,1.36
54117,2.48
54118,1.79
54119,2.82
54120,3.34
54121,1.68
54122,1.16
54123,2.38
54124,2.53
54125,1.6
54126,3.55
54127,2.16
54128,4.49
54129,2.76
54130,3.42
54131,1.88
54132,3.02
54133,2.63
54134,2.12
54135,2.31
54136,2.51
54137,1.97
54138,2.32
54139,2.52
54140,2.69
54141,2.5
54142,2.72
54143,2.58
54144,2.57
54145,2.3
54146,3.57
54147,2.29
54148,1.52
54149,2.74
54150,3.56
54151,2.62
54152,2.71
54153,3.13
54154,1.96
54155,2.2
54156,2.76
54157,3.26
54158,1.98
54159,1.69
54160,2.95
54161,3.26
54162,2.14
54163,2.34
54164,3.58
54165,2.6
54166,2.21
54167,2.41
54168,2.62
54169,2.56
54170,1.43
54171,1.91
54172,2.48
54173,2.95
54174,3.13
54175,2.4
54176,3.7
54177,2.4
54178,3.0
54179,2.11
54180,2.48
54181,2.49
54182,2.02
54183,2.07
54184,2.75
54185,4.27
54186,2.1
54187,2.38
54188,2.58
54189,2.64
54190,2.94
54191,2.21
54192,2.54
54193,2.55
54194,2.73
54195,3.06
54196,2.33
54197,2.61
54198,2.15
54199,2.73
54200,3.02
54201,2.64
54202,2.3
54203,2.65
54204,1.97
54205,2.21
54206,2.58
54207,3.02
54208,2.04
54209,3.2
54210,3.14
54211,2.32
54212,3.11
54213,3.7
54214,2.28
54215,3.53
54216,2.68
54217,3.09
54218,2.39
54219,3.1
54220,2.92
54221,1.95
54222,2.83
54223,2.37
54224,3.49
54225,4.08
54226,3.38
54227,2.63
54228,1.57
54229,2.63
54230,1.87
54231,2.41
54232,2.82
54233,2.35
54234,3.48
54235,3.96
54236,2.59
54237,3.41
54238,2.5
54239,3.35
54240,2.05
54241,2.7
54242,2.36
54243,2.77
54244,2.65
54245,2.45
54246,2.49
54247,2.64
54248,3.09
54249,2.79
54250,2.8
54251,1.55
54252,3.13
54253,3.04
54254,2.69
54255,2.09
54256,2.78
54257,2.57
54258,2.83
54259,3.43
54260,3.0
54261,3.46
54262,2.6
54263,2.07
54264,2.84
54265,3.25
54266,4.03
54267,2.85
54268,2.86
54269,2.9
54270,2.49
54271,2.5
54272,2.83
54273,1.61
54274,2.65
54275,3.11
54276,2.9
54277,3.35
54278,2.53
54279,2.53
54280,1.38
54281,2.69
54282,2.38
54283,2.69
54284,2.51
54285,3.17
54286,3.27
54287,3.37
54288,2.69
54289,2.41
54290,2.13
54291,2.01
54292,2.89
54293,2.48
54294,2.27
54295,3.61
54296,2.26
54297,3.11
54298,3.24
54299,1.56
54300,2.68
54301,3.01
54302,2.63
54303,3.36
54304,3.18
54305,2.2
54306,1.77
54307,3.22
54308,2.5
54309,1.55
54310,2.95
54311,2.02
54312,2.43
54313,1.41
54314,2.72
54315,2.96
54316,3.28
54317,3.14
54318,2.12
54319,2.33
54320,2.84
54321,2.84
54322,3.55
54323,2.43
54324,2.96
54325,1.72
54326,3.2
54327,3.11
54328,2.72
54329,2.84
54330,2.66
54331,2.85
54332,2.87
54333,1.98
54334,2.25
54335,2.59
54336,2.41
54337,2.68
54338,2.6
54339,2.74
54340,2.43
54341,2.93
54342,3.05
54343,2.87
54344,3.06
54345,2.61
54346,2.19
54347,2.97
54348,4.14
54349,2.94
54350,3.12
54351,2.81
54352,1.72
54353,2.54
54354,2.4
54355,3.55
54356,3.48
54357,2.6
54358,3.06
54359,3.14
54360,2.62
54361,2.54
54362,3.94
54363,2.25
54364,3.54
54365,3.22
54366,2.8
54367,2.11
54368,2.84
54369,3.08
54370,2.36
54371,2.85
54372,2.86
54373,2.83
54374,2.91
54375,2.09
54376,3.06
54377,2.64
54378,2.01
54379,3.04
54380,3.64
54381,2.46
54382,2.52
54383,1.94
54384,2.57
54385,2.55
54386,3.27
54387,2.49
54388,2.91
54389,2.39
54390,2.9
54391,2.95
54392,2.73
54393,2.03
54394,2.37
54395,2.07
54396,2.8
54397,2.04
54398,1.91
54399,2.1
54400,3.79
54401,2.16
54402,2.77
54403,2.37
54404,2.34
54405,2.7
54406,2.6
54407,2.01
54408,2.17
54409,1.62
54410,3.03
54411,2.44
54412,2.45
54413,1.78
54414,2.98
54415,3.53
54416,2.2
54417,2.39
54418,2.92
54419,2.9
54420,3.22
54421,2.92
54422,2.29
54423,2.3
54424,1.86
54425,3.31
54426,2.9
54427,2.9
54428,2.79
54429,2.79
54430,2.34
54431,3.02
54432,3.73
54433,2.98
54434,1.76
54435,2.83
54436,1.9
54437,2.97
54438,2.23
54439,2.28
54440,2.52
54441,2.93
54442,2.56
54443,2.84
54444,2.55
54445,3.33
54446,3.0
54447,4.39
54448,2.67
54449,2.76
54450,2.0
54451,2.26
54452,2.89
54453,2.08
54454,2.55
54455,2.5
54456,2.69
54457,3.04
54458,2.75
54459,2.95
54460,2.73
54461,2.88
54462,2.71
54463,3.89
54464,3.03
54465,2.9
54466,2.3
54467,1.31
54468,2.44
54469,2.98
54470,1.94
54471,2.81
54472,2.59
54473,1.14
54474,2.48
54475,1.74
54476,2.8
54477,2.78
54478,2.84
54479,2.77
54480,3.51
54481,2.23
54482,3.53
54483,2.86
54484,3.15
54485,1.81
54486,3.09
54487,2.94
54488,2.03
54489,2.74
54490,2.46
54491,2.53
54492,2.65
54493,2.2
54494,2.06
54495,2.37
54496,2.11
54497,2.35
54498,3.96
54499,3.65
54500,2.83
54501,2.52
54502,2.94
54503,2.56
54504,3.97
54505,2.88
54506,3.33
54507,2.93
54508,1.77
54509,2.14
54510,2.4
54511,3.02
54512,2.1
54513,2.74
54514,2.93
54515,2.65
54516,3.1
54517,2.88
54518,2.1
54519,2.35
54520,2.42
54521,3.17
54522,2.54
54523,3.14
54524,2.77
54525,2.4
54526,2.44
54527,2.87
54528,3.0
54529,2.76
54530,2.0
54531,2.43
54532,1.63
54533,1.3
54534,2.48
54535,3.36
54536,3.04
54537,2.71
54538,2.87
54539,2.54
54540,2.57
54541,2.63
54542,2.63
54543,2.69
54544,2.2
54545,2.04
54546,2.23
54547,3.12
54548,1.89
54549,3.11
54550,3.33
54551,2.34
54552,1.54
54553,2.65
54554,2.66
54555,2.25
54556,2.5
54557,1.82
54558,2.22
54559,2.09
54560,2.68
54561,3.06
54562,2.99
54563,3.08
54564,3.2
54565,3.41
54566,2.38
54567,3.41
54568,3.7
54569,2.88
54570,1.63
54571,2.03
54572,3.85
54573,3.2
54574,2.24
54575,2.84
54576,2.45
54577,2.11
54578,2.73
54579,3.97
54580,2.27
54581,3.06
54582,2.16
54583,2.52
54584,1.44
54585,3.02
54586,2.51
54587,3.08
54588,2.13
54589,2.89
54590,1.77
54591,2.18
54592,3.0
54593,1.89
54594,2.65
54595,3.43
54596,3.46
54597,2.33
54598,2.22
54599,2.36
54600,3.12
54601,2.3
54602,2.23
54603,1.88
54604,2.93
54605,3.15
54606,3.25
54607,3.0
54608,3.46
54609,3.21
54610,1.77
54611,2.89
54612,3.21
54613,2.38
54614,3.27
54615,3.04
54616,2.89
54617,2.35
54618,3.41
54619,2.04
54620,2.49
54621,3.01
54622,1.13
54623,2.48
54624,2.39
54625,2.84
54626,3.15
54627,2.27
54628,2.56
54629,2.73
54630,2.62
54631,2.33
54632,2.41
54633,2.04
54634,2.32
54635,2.55
54636,2.9
54637,3.4
54638,1.72
54639,3.61
54640,2.66
54641,2.09
54642,3.18
54643,3.01
54644,2.35
54645,2.05
54646,2.37
54647,2.6
54648,2.62
54649,2.31
54650,2.84
54651,2.75
54652,2.45
54653,3.71
54654,3.1
54655,2.35
54656,2.97
54657,2.98
54658,2.23
54659,2.46
54660,2.3
54661,3.01
54662,2.72
54663,2.46
54664,2.0
54665,3.3
54666,1.66
54667,1.94
54668,2.23
54669,2.54
54670,1.97
54671,2.21
54672,2.33
54673,2.6
54674,2.96
54675,2.11
54676,2.35
54677,1.91
54678,3.26
54679,3.32
54680,2.29
54681,2.87
54682,2.5
54683,2.47
54684,2.19
54685,2.8
54686,2.53
54687,3.09
54688,3.48
54689,1.62
54690,2.0
54691,2.45
54692,2.53
54693,1.87
54694,2.49
54695,3.45
54696,3.22
54697,3.26
54698,2.68
54699,2.32
54700,3.03
54701,4.55
54702,2.76
54703,2.54
54704,2.29
54705,2.94
54706,2.91
54707,2.66
54708,2.96
54709,1.39
54710,1.69
54711,2.58
54712,2.34
54713,2.61
54714,2.96
54715,3.14
54716,2.79
54717,2.82
54718,2.34
54719,2.48
54720,2.25
54721,2.69
54722,2.43
54723,2.29
54724,2.82
54725,2.28
54726,2.47
54727,3.14
54728,2.55
54729,3.01
54730,3.34
54731,2.48
54732,3.09
54733,1.95
54734,2.21
54735,2.78
54736,3.1
54737,1.81
54738,2.53
54739,2.96
54740,2.33
54741,2.24
54742,3.19
54743,2.2
54744,2.76
54745,1.94
54746,1.57
54747,2.15
54748,1.48
54749,3.07
54750,2.5
54751,2.54
54752,2.02
54753,2.69
54754,2.97
54755,2.47
54756,2.56
54757,3.14
54758,1.98
54759,2.15
54760,3.32
54761,3.18
54762,2.84
54763,3.18
54764,2.95
54765,2.56
54766,2.14
54767,1.76
54768,2.38
54769,2.69
54770,2.33
54771,1.19
54772,2.35
54773,2.51
54774,2.0
54775,2.12
54776,2.94
54777,3.42
54778,1.73
54779,2.97
54780,3.32
54781,3.21
54782,3.55
54783,2.56
54784,2.37
54785,3.57
54786,2.51
54787,2.26
54788,1.76
54789,3.08
54790,2.52
54791,2.74
54792,3.07
54793,3.03
54794,1.92
54795,3.22
54796,2.06
54797,2.35
54798,2.58
54799,2.74
54800,3.4
54801,2.56
54802,2.4
54803,3.34
54804,3.87
54805,1.48
54806,2.67
54807,2.66
54808,2.79
54809,2.68
54810,2.82
54811,1.98
54812,2.88
54813,2.09
54814,2.07
54815,2.49
54816,1.26
54817,3.12
54818,2.1
54819,2.93
54820,2.32
54821,2.56
54822,2.76
54823,2.8
54824,3.1
54825,2.55
54826,3.01
54827,2.21
54828,2.39
54829,2.6
54830,2.67
54831,2.09
54832,3.11
54833,3.93
54834,2.39
54835,1.77
54836,2.43
54837,3.03
54838,3.02
54839,2.71
54840,2.37
54841,2.97
54842,2.94
54843,2.65
54844,2.07
54845,3.13
54846,1.79
54847,2.62
54848,1.62
54849,2.89
54850,3.69
54851,2.94
54852,2.65
54853,1.89
54854,2.36
54855,2.89
54856,2.3
54857,2.45
54858,2.5
54859,2.88
54860,2.81
54861,1.36
54862,3.08
54863,2.74
54864,2.45
54865,2.07
54866,2.65
54867,3.22
54868,1.9
54869,1.5
54870,2.57
54871,1.35
54872,2.84
54873,1.58
54874,2.39
54875,1.47
54876,1.78
54877,2.16
54878,2.48
54879,2.46
54880,3.25
54881,1.62
54882,2.81
54883,2.46
54884,2.35
54885,2.93
54886,2.63
54887,1.42
54888,1.54
54889,2.56
54890,1.53
54891,2.18
54892,1.88
54893,2.79
54894,2.33
54895,3.32
54896,2.11
54897,3.34
54898,2.98
54899,2.46
54900,2.85
54901,1.65
54902,2.75
54903,2.67
54904,2.67
54905,2.84
54906,2.8
54907,2.59
54908,2.21
54909,1.63
54910,1.87
54911,2.71
54912,2.89
54913,2.92
54914,2.12
54915,1.8
54916,2.39
54917,2.83
54918,2.53
54919,2.84
54920,2.06
54921,1.99
54922,3.73
54923,2.28
54924,3.11
54925,1.75
54926,2.81
54927,3.21
54928,2.26
54929,2.78
54930,2.43
54931,3.41
54932,3.01
54933,3.62
54934,2.88
54935,3.5
54936,2.4
54937,2.91
54938,2.69
54939,2.38
54940,1.5
54941,2.87
54942,2.83
54943,3.19
54944,2.24
54945,2.59
54946,2.36
54947,3.51
54948,2.52
54949,2.89
54950,3.22
54951,2.88
54952,1.9
54953,2.23
54954,2.82
54955,2.77
54956,3.27
54957,3.44
54958,1.78
54959,2.16
54960,2.58
54961,2.97
54962,3.18
54963,2.55
54964,2.23
54965,2.13
54966,2.66
54967,2.27
54968,2.57
54969,3.03
54970,2.43
54971,1.7
54972,2.28
54973,1.95
54974,2.91
54975,2.44
54976,2.28
54977,2.94
54978,2.06
54979,2.4
54980,2.82
54981,2.21
54982,2.99
54983,2.14
54984,1.12
54985,3.04
54986,2.31
54987,2.88
54988,2.44
54989,2.28
54990,2.16
54991,2.51
54992,2.48
54993,2.08
54994,3.4
54995,1.76
54996,2.48
54997,2.61
54998,3.01
54999,1.2
55000,2.13
55001,2.44
55002,2.31
55003,2.48
55004,2.92
55005,2.49
55006,3.49
55007,2.62
55008,3.41
55009,3.41
55010,2.79
55011,2.32
55012,2.97
55013,2.73
55014,3.59
55015,2.09
55016,2.43
55017,2.98
55018,2.45
55019,2.79
55020,1.92
55021,3.15
55022,3.05
55023,2.83
55024,2.8
55025,2.75
55026,3.25
55027,2.87
55028,2.15
55029,2.41
55030,3.19
55031,1.63
55032,2.68
55033,1.99
55034,2.27
55035,3.1
55036,2.88
55037,3.44
55038,3.1
55039,2.99
55040,1.59
55041,1.8
55042,2.88
55043,1.85
55044,1.56
55045,3.57
55046,3.08
55047,1.77
55048,3.03
55049,2.6
55050,2.22
55051,2.53
55052,3.27
55053,3.45
55054,2.41
55055,1.85
55056,2.52
55057,1.72
55058,2.29
55059,2.94
55060,3.13
55061,3.53
55062,2.48
55063,3.43
55064,2.33
55065,3.49
55066,2.28
55067,2.53
55068,2.23
55069,2.48
55070,3.11
55071,2.41
55072,2.0
55073,2.71
55074,2.72
55075,2.3
55076,3.1
55077,2.23
55078,1.99
55079,3.57
55080,1.84
55081,2.96
55082,2.19
55083,2.96
55084,2.08
55085,3.37
55086,3.08
55087,1.86
55088,2.21
55089,3.06
55090,1.22
55091,2.49
55092,2.75
55093,2.75
55094,2.13
55095,3.19
55096,2.93
55097,2.4
55098,2.56
55099,2.79
55100,2.53
55101,1.91
55102,2.16
55103,2.56
55104,2.81
55105,2.84
55106,1.98
55107,2.32
55108,2.04
55109,2.93
55110,2.38
55111,2.7
55112,2.09
55113,3.01
55114,2.37
55115,2.24
55116,2.38
55117,1.92
55118,3.04
55119,2.55
55120,2.16
55121,1.87
55122,3.34
55123,2.78
55124,2.71
55125,3.19
55126,2.86
55127,2.61
55128,2.96
55129,2.62
55130,3.16
55131,3.53
55132,2.86
55133,2.94
55134,1.9
55135,3.38
55136,2.1
55137,1.63
55138,2.71
55139,2.64
55140,2.86
55141,2.18
55142,2.94
55143,2.67
55144,2.95
55145,2.08
55146,2.67
55147,3.16
55148,3.04
55149,2.72
55150,3.36
55151,2.59
55152,2.68
55153,1.96
55154,3.37
55155,2.9
55156,3.21
55157,2.59
55158,1.71
55159,3.79
55160,2.53
55161,3.06
55162,2.97
55163,3.06
55164,2.45
55165,2.33
55166,2.75
55167,2.24
55168,3.31
55169,3.01
55170,3.19
55171,3.06
55172,3.4
55173,2.91
55174,2.85
55175,2.86
55176,2.39
55177,3.0
55178,3.4
55179,2.46
55180,3.24
55181,2.76
55182,1.84
55183,2.3
55184,3.38
55185,1.78
55186,2.39
55187,3.07
55188,2.53
55189,1.61
55190,2.61
55191,3.02
55192,2.13
55193,2.75
55194,1.47
55195,2.57
55196,2.46
55197,3.16
55198,2.4
55199,3.89
55200,3.43
55201,2.5
55202,2.84
55203,2.61
55204,3.2
55205,3.39
55206,2.88
55207,2.16
55208,2.52
55209,1.82
55210,2.46
55211,2.14
55212,2.59
55213,3.25
55214,1.97
55215,2.86
55216,2.99
55217,1.96
55218,2.83
55219,2.31
55220,1.71
55221,2.2
55222,2.29
55223,2.26
55224,2.28
55225,3.0
55226,2.58
55227,2.26
55228,2.95
55229,1.53
55230,2.78
55231,2.48
55232,1.26
55233,2.52
55234,3.2
55235,3.14
55236,2.86
55237,2.26
55238,2.74
55239,3.08
55240,2.08
55241,3.31
55242,2.22
55243,2.92
55244,2.88
55245,2.03
55246,2.22
55247,2.84
55248,1.9
55249,2.12
55250,2.45
55251,1.76
55252,2.73
55253,2.34
55254,2.63
55255,2.32
55256,3.21
55257,2.11
55258,3.03
55259,1.61
55260,2.59
55261,1.87
55262,2.79
55263,3.24
55264,2.23
55265,3.13
55266,2.1
55267,3.18
55268,2.29
55269,2.66
55270,2.41
55271,2.75
55272,3.43
55273,2.56
55274,2.48
55275,2.67
55276,2.55
55277,3.29
55278,2.72
55279,2.29
55280,3.35
55281,2.5
55282,3.34
55283,2.46
55284,2.08
55285,1.31
55286,2.73
55287,2.59
55288,2.34
55289,2.77
55290,3.24
55291,3.11
55292,2.1
55293,3.35
55294,3.19
55295,2.52
55296,2.72
55297,1.95
55298,2.57
55299,2.16
55300,3.13
55301,1.53
55302,2.34
55303,2.65
55304,2.73
55305,3.27
55306,2.35
55307,2.66
55308,2.05
55309,2.21
55310,3.24
55311,2.71
55312,2.84
55313,3.23
55314,2.43
55315,2.68
55316,2.73
55317,2.95
55318,2.48
55319,2.28
55320,2.38
55321,2.6
55322,1.95
55323,1.7
55324,0.96
55325,1.89
55326,1.93
55327,3.48
55328,1.89
55329,2.63
55330,2.63
55331,2.2
55332,2.87
55333,2.61
55334,3.24
55335,1.8
55336,2.94
55337,3.14
55338,3.0
55339,2.67
55340,3.22
55341,2.57
55342,2.75
55343,2.84
55344,1.98
55345,2.16
55346,3.04
55347,3.62
55348,3.4
55349,2.94
55350,3.17
55351,3.13
55352,2.89
55353,1.91
55354,2.9
55355,2.85
55356,2.88
55357,3.02
55358,3.06
55359,2.53
55360,3.09
55361,2.39
55362,2.69
55363,2.35
55364,3.02
55365,2.04
55366,2.95
55367,1.68
55368,2.88
55369,3.04
55370,2.23
55371,3.46
55372,2.81
55373,2.7
55374,2.51
55375,3.06
55376,2.78
55377,2.22
55378,3.91
55379,3.85
55380,3.02
55381,2.75
55382,2.38
55383,2.45
55384,2.76
55385,2.73
55386,2.31
55387,4.01
55388,3.16
55389,3.59
55390,2.56
55391,3.56
55392,2.93
55393,3.1
55394,2.45
55395,3.02
55396,2.51
55397,3.5
55398,2.34
55399,2.65
55400,2.6
55401,2.01
55402,3.37
55403,3.22
55404,2.57
55405,2.08
55406,1.55
55407,2.93
55408,2.73
55409,2.61
55410,2.27
55411,2.58
55412,2.59
55413,2.07
55414,2.22
55415,2.68
55416,2.69
55417,2.52
55418,2.62
55419,3.04
55420,2.51
55421,2.92
55422,2.76
55423,2.74
55424,2.69
55425,2.94
55426,3.67
55427,2.74
55428,2.15
55429,2.91
55430,2.26
55431,3.19
55432,1.95
55433,2.14
55434,2.94
55435,2.17
55436,3.45
55437,2.9
55438,2.53
55439,2.55
55440,2.73
55441,2.86
55442,2.49
55443,2.29
55444,2.75
55445,2.12
55446,2.79
55447,1.9
55448,3.9
55449,2.7
55450,3.36
55451,1.97
55452,2.38
55453,2.67
55454,2.97
55455,3.36
55456,2.91
55457,3.3
55458,2.41
55459,1.65
55460,1.97
55461,2.28
55462,2.33
55463,1.03
55464,2.34
55465,2.86
55466,2.38
55467,2.09
55468,2.24
55469,3.52
55470,2.98
55471,1.89
55472,2.79
55473,2.48
55474,2.97
55475,2.98
55476,2.61
55477,2.58
55478,2.64
55479,2.57
55480,2.23
55481,2.25
55482,2.49
55483,2.52
55484,2.96
55485,2.95
55486,2.77
55487,2.65
55488,2.5
55489,3.1
55490,2.38
55491,3.1
55492,1.11
55493,2.69
55494,3.26
55495,1.83
55496,1.22
55497,1.84
55498,2.98
55499,2.2
55500,2.91
55501,2.25
55502,2.23
55503,3.61
55504,2.67
55505,2.41
55506,2.76
55507,3.1
55508,2.32
55509,2.66
55510,3.34
55511,2.06
55512,1.85
55513,2.44
55514,2.21
55515,2.44
55516,2.26
55517,3.53
55518,2.52
55519,2.31
55520,2.56
55521,1.81
55522,2.84
55523,2.73
55524,3.09
55525,2.78
55526,2.32
55527,2.07
