Narrative,Severity,Vulnerability
I have a mortgage with Wells Fargo. I refinanced with them and they misled me about how much the closing costs were going to be and they took money from the original escrow account and no one can explain to me where that money went. They also never calculated in the new escrow into the closing costs to make it seem the closing costs were not as much as it seemed.,4,3
I have on my credit a WV state tax that was paid.. I also have the release paper from the WV state tax that it was paid.. just want to get this off my credit. Thank you,2,1
"This is regarding the recent hack of Equifax, resulting in my information being distributed to the hackers/unknown parties and now my identity and credit being at risk of theft for the remainder of my life.",4,2
"Last year my sister send me {$2000.00} from her chase account to my back of america account. my sister use my email address to send the money ; this email address was not register in my account. The money was deposit in a internal Bank of American Account. Now Bank of America do not want to return the money to chase. Every time i call, no one know how to help me.",3,3
I have no received any information about this account. I have tried disputing and reaching out to the company online but get response.,2,2
"I sent the Weinberg Mediation Group a validation debt letter, and cease and desist letter. They continue to call and  harass my mother and I.",4,3
"This company will not state who they are and what kind of "" account '' they hold for me. They are also contacting family members on their personal cell phones regarding getting in contact with me.",4,2
"Hello, The Coinbase application was used to purchase digital currency. The order was executed and my credit card was charged but in my digital wallet and the reflection of the account within the app does not show the digital currency available. I reached out to Coinbase and did not receive a response with regards to my inquiry. At that time I felt the need to get help from the CFPB.",3,3
I had a debt with a credit card company. I received a letter from them greater than 5 years ago stating that they could not do any legal action against me due to the age of the debt. Recently they have been calling 3-4 times a week though I have requested them not to call.,2,2
"Citibank guaranteed an annual fee refund when I downgraded my Citi ThankYou Premier card ( which carries a {$95.00} annual fee ) to a Citi ThankYou preferred card ( which carries no annual fee ). Despite several attempts to contact, and request my refund, they refuse to respond.",2,2
"More than ice I 've consolidated wit h Navient and s et up a payment plan with autodraftst from my bank. It 's never the price they say it would be and I felt with it but the worst part is every time I set it up they cancel it, stop autodrafting and call me back to make new plans. Sometimes as early as a month later. I 'm tired of dealing with them.",2,2
The debt collector reported a debt to the 3 credit agencies on my behalf on a debt I never received mail or even knew I have because all my medical bills are paid through insurance,2,3
"Equifax does n't allow me to see my credit report online. They 're asking questions which I did n't. So, I ca n't answer correctly.",1,1
Company failed to send verification documentation bearing my signature a requested to prove that I actually owed or ever owned this account and just sent letters stating that they verified the information. The information was also once showing it was removed from my credit reports only to be later paced on there again at a later date.,2,3
I recently checked my credit report and discovered that this company has reported that I owe them a debt. To my knowledge this company has never sent me a letter informing me that I owe them anything. I was not afforded my rights under the FDCPA to validation,2,1
"When I registered for college I was assured I would find a job and the college would make sure of it. It was a terrible experience. New instructors every month, always out of supplies, incorrect test answers, the whole thing was a mess. I got an externship but then lost it and the school refused to help me get a new one. I never got a degree and I owe thousands in student loans.",1,4
Ocwen is continuing to update on my credit report for an account that was included in my bankruptcy. By law after a discharged bankruptcy they are not to update and damage credit.,3,1
I have a lot of fraudulent inquiries that are not mine on my credit report with Transunion. I 've addressed this issue with Transunion when I sent them letters about the inquiries as well as phone calls . Tranunion reinserted those inquiries after they were deleted and I never received a 5 day notice about  the reinsertion. Which is a violation of the FCRA.,3,1
CHASE CHARGED OFF THE ACCOUNT THAT WAS PAID AS AGREED ( BY MY EX SPOUSE ) WITH NO LATES ... .IT IS DAMAGING TO MY CREDIT REPORT AND IT IS STILL REPORTING A BALANCE DUE ... THIS IS NOT MY LIABILITY IN FIRST PLACE!!!,3,2
"I am writing to dispute the following information in my file. The items I dispute also I have the attached copy of the credit report I received. Such as credit account, judgment, etc. ) Is ( inaccurate and incomplete ) I am requesting that the item be remove corrected. 
Please reinvestigate this ( these ) matter ( s ) and ( delete ) the disputed item ( s ) as soon as possible",2,1
"I requested a increase on my {$250.00} line of credit with Khol 's several times, however, I have never received a reason for denial letter.",1,1
I received this letter from this company demanding payment. To my knowledge I have never entered into a contract with this company nor have they provided me with services or goods,1,1
I am writing t inform you that Barclays is not my account. I believe thatit is fraud. I want it removed from my record.,2,1
"The original debt was a result of an unlicensed loan in Kansas back in 2015. The company allegedly sold the debt to Security Credit Services , LLC. They I turn are saying it doesnt matter if the ordinal loan was illegal. They are listing it on my credit report until I pay them. They refuse to provide me with proper debt validation an think federal law doesnt apply to them.",3,2
I sp ent two d ays preparing documents i faxed and mailed out an agreement form at that time because i needed help. I sent the infirmation again. They claim they couldnt help me. Which was just the opposite of the verbal and written notice. Navient is the name of the company.,1,2
I recently submitted disputed a credit reporting for a credit card that has been filed and dismissed in a bankruptcy filed by my mother. I was the joint account holder.on my experian credit report it shows this on equips and transom that are showing them as charged off not.listing the bankruptcy which has a baring on my score,3,3
"Hurricane maria passed over puerto rico And i need to get water, food, there 's no energy, economy was affected, etc ... 

I call MRS BPO LLC to request moratorium payments but they refuse it I have doubt of the legit of my account with MRS",2,5
My clients property is underwater m y 1st question  is can he do a short sale if he is still making the payment. We have an offer on the property I am attaching all the documents.,1,5
"I never applied for a credit line, nor did I see anything while signing up for regular PayPal warning me I was signing up for PayPal Credit.",2,1
There are multiple accounts that have been repeated with the same account numbers and i have asked several times for account to be removed. Very old accounts also,1,1
"I have submitted documents on many occasions as well as submitted many disputes with supporting documents, and they will not remove the items or correct my credit report. There are duplicate entries and I will show these accounts as they are same account, as well as others they are ignoring I have submitted based on FTC affidavits.",1,1
"Macys and Citibank, on behalf of Macys making harassing phone calls after the fraud charges were removed from my account. They neglected to removed the fees and interest charges associated with the fraudulent charges!",3,2
"Citibank called my father, whom I do not live with and disclosed personal information about my debt and being behind with my bills. The third party ( father ) was informed about how much I owe them. They leave robocall messages on my phone every day, and do not make themselves accessible for me to try to call back at an appropriate time that allows me to solve the issue.",4,3
I was in forebearance and my loans were reported as 90 days late on my credit report for no reason. They were never reported as 30 or 60 days late. I now have negative credit because of the wrong information.,3,2
I have reached out to the credit bureaus about a car loan that is showing up on my credit report. I have contacted the creditor and submitted documents to them as well advising them that this was fraud and my identity was stolen. They have been cursing me out and hanging the phone up in my face. I need to have this {$20000.00} car loan taken off of my credit report immediately.,5,3
My income tax was garnished in violation of 15 USC 1692-1692p. Not my debt nor did the lawyers of the recovery company contact me nor did they provide whose debt this was.,3,1
I disputed this account and asked for it to be verified and validated. I never received any proof of anything from credit bureau nor finance company.,2,1
My elderly father phone number was contacted he was told i owe Discover it scared him and Im embarrassed,3,1
I called customer service to ask about the rewards program on my credit card and received the information I needed.,0,0
I wanted to confirm the interest rate on my savings account and the representative answered my questions clearly.,0,0
I accidentally entered the wrong PIN at the ATM but was able to use my card successfully later that day.,0,0
I downloaded my monthly statement from the mobile app without any issues and everything looked correct.,0,0
I visited the branch to update my email address and the process was completed within a few minutes.,0,0
I received a notification about a scheduled maintenance window for online banking and experienced no inconvenience.,0,0
I contacted the bank to understand how international transaction fees are calculated and received a satisfactory explanation.,0,0
I wanted to know when my debit card would expire and customer support provided the replacement timeline.,0,0
I changed my account password successfully after following the instructions on the website.,0,0
I was able to activate my new credit card through the mobile application without any problems.,0,0
I requested information about opening a joint account and the bank representative explained the requirements clearly.,0,0
I received a promotional email for a personal loan but was not interested in applying.,0,0
I used the online chat feature to ask about branch operating hours and received an immediate response.,0,0
I enrolled in paperless statements and received a confirmation email shortly afterward.,0,0
I compared two checking account options on the bank's website before deciding which one suited my needs.,0,0
I requested a duplicate account statement for my personal records and it was sent to me electronically.,0,0
I updated my mailing address after moving to a new apartment and the change appeared correctly in my profile.,0,0
I reviewed my recent transactions and confirmed that all charges were authorized and accurate.,0,0
I visited the FAQ section to learn how to set up automatic bill payments and found the instructions helpful.,0,0
I called customer support to ask whether the bank offers student accounts and received a detailed explanation of the available options.,0,0
"My debit card arrived two days later than expected, but I was able to use another payment method in the meantime.",1,1
"The mobile banking app logged me out several times today, although I was eventually able to complete my transaction.",1,1
I noticed that my monthly statement was delivered a few days late compared to previous months.,1,1
Customer service kept me on hold for over 20 minutes before answering my question about my account balance.,1,1
I received duplicate promotional emails from the bank after unsubscribing from their mailing list.,1,1
"The ATM at my local branch was temporarily out of service, so I had to visit another location to withdraw cash.",1,1
"My replacement debit card took longer than expected to arrive, causing a minor inconvenience while traveling locally.",1,1
"I was charged a small foreign transaction fee that I did not initially notice, but the bank explained the charge when I called.",1,1
"The online banking website was unavailable for about an hour, delaying my bill payment until later in the day.",1,1
I had to submit my address verification documents twice because the first upload was not processed correctly.,1,1
"My automatic payment was processed a day later than usual, although it did not result in any penalty or missed payment.",1,1
I was transferred between multiple customer service representatives before receiving an answer about my account setting,1,1
"I was charged a $35 overdraft fee because my paycheck was credited a day late, but the bank reversed it after I called.",2,1
"An online transfer between my checking and savings account took two days to complete, delaying a planned purchase.",2,1
"My credit card payment was incorrectly marked as late even though I paid before the due date, and the error was fixed after I contacted support.",2,1
I was charged twice for the same debit card transaction and had to wait a week for the duplicate charge to be refunded.,2,1
My online banking account was temporarily locked due to a system error and I regained access the next day.,2,1
"The bank placed a temporary hold on my deposit for longer than expected, delaying access to my funds by two days.",2,1
My scheduled bill payment failed because of a technical issue and I had to submit it manually.,2,1
A recurring payment was processed twice and the extra amount was refunded after several business days.,2,1
The ATM dispensed less cash than requested but the shortage was corrected after filing a complaint.,2,1
My debit card was declined several times due to a processing error before working normally later that day.,2,1
The bank mistakenly applied a maintenance fee that was removed after I contacted customer service.,2,1
A mobile check deposit remained pending for four days without explanation before finally clearing.,2,1
"I experienced a delay in receiving my replacement debit card, forcing me to visit a branch for cash.",2,1
The bank incorrectly classified a payment as returned and fixed the issue after reviewing my account.,2,1
"My online transfer exceeded the expected processing time, causing a minor inconvenience.",2,1
An automatic payment was skipped because of a system issue but was processed successfully after I called.,2,1
A duplicate pending transaction temporarily reduced my available balance until it disappeared.,2,1
"I was incorrectly notified that my account was overdrawn, but the message was sent in error.",2,1
A deposit made through the ATM was credited later than the stated processing time.,2,1
The bank delayed releasing a temporary authorization hold on my debit card purchase.,2,1
"I rely on online banking because I have limited mobility, and the mobile app was unavailable for several hours.",1,2
I live on a fixed income and confusing account notifications caused unnecessary concern even though nothing was wrong.,1,2
English is not my first language and I struggled to understand the automated phone system before reaching an agent.,1,2
"I recently moved and had trouble updating my mailing address, resulting in duplicate statements.",1,2
I depend on automatic payments and a maintenance notice made me worry that my bills would not be paid.,1,2
As a first-time banking customer I found the verification process confusing and needed multiple calls for clarification.,1,2
I use large text accessibility settings and the latest app update made it difficult to read my account information.,1,2
I have limited internet access and the bank's website was unavailable when I wanted to review my balance.,1,2
I rely on text alerts to monitor spending and several notifications arrived hours later than expected.,1,2
I was unable to locate clear instructions for replacing my debit card and needed extra assistance from support.,1,2
I recently immigrated and found the account setup documents difficult to understand without additional help.,1,2
"The branch closed earlier than expected, requiring me to make another trip later in the week.",1,2
I depend on online statements because I travel frequently and experienced a temporary login problem.,1,2
The chatbot repeatedly misunderstood my questions and I eventually had to call customer service.,1,2
My account nickname disappeared after an app update and I needed assistance restoring it.,1,2
The bank website displayed an error message while I was trying to update my contact details.,1,2
"A password reset email took much longer than expected to arrive, causing a short delay.",1,2
"I received duplicate verification requests when opening a new account, making the process confusing.",1,2
The mobile app logged me out repeatedly while I was reviewing my account activity.,1,2
"The ATM receipt printer was not working, making it harder for me to keep track of my spending.",1,2
Unauthorized charges totaling $900 appeared on my credit card and the investigation has remained open for weeks.,3,1
My mortgage payment was incorrectly reported as late even though I paid on time.,3,1
"The bank froze my checking account without warning, preventing access to my funds for five days.",3,1
A loan that does not belong to me appeared on my credit report and has not yet been removed.,3,1
A wire transfer error delayed the closing of my home purchase by several days.,3,1
My debit card was compromised and multiple fraudulent purchases emptied most of my available balance.,3,1
"The bank processed the same loan payment twice, leaving me short on funds for rent.",3,1
My account was closed unexpectedly while I was traveling and I could not access my money.,3,1
A payment processing error caused my utility bill to become overdue and incur penalties.,3,1
"My savings account was mistakenly linked to another customer's profile, exposing my information.",3,1
A fraudulent personal loan was opened using my identity and collections notices have started arriving.,3,1
My employer's direct deposit was rejected because of an internal banking error.,3,1
The bank failed to stop recurring unauthorized transactions after multiple reports.,3,1
An incorrect negative credit report entry caused my auto loan application to be denied.,3,1
The bank withdrew the same mortgage payment twice within one week.,3,1
My dispute regarding unauthorized charges has remained unresolved for over a month.,3,1
A cashier's check issued by the bank contained an error that delayed an important payment.,3,1
My checking account balance suddenly dropped because of an unexplained processing mistake.,3,1
An internal banking error prevented my payroll deposit from being credited on time.,3,1
The bank failed to process my fraud report despite multiple calls over several weeks.,3,1
I am an elderly customer who depends on my pension and had difficulty accessing online banking for a day.,1,3
I receive disability benefits and my replacement debit card arrived later than expected.,1,3
I recently lost my job and the banking app displayed an incorrect balance for several hours.,1,3
I am a college student living on limited savings and the nearby ATM was unavailable.,1,3
I recently immigrated and received a confusing verification notice that caused significant concern.,1,3
"I rely entirely on digital banking because I cannot easily travel to a branch, and the app was unavailable.",1,3
As a senior citizen I found the latest mobile app update difficult to navigate.,1,3
I receive government assistance and experienced a temporary login issue while checking my balance.,1,3
I depend on my debit card for daily purchases and the activation process took longer than expected.,1,3
I have limited vision and the website redesign reduced accessibility for reading my statements.,1,3
I rely on text notifications to manage my finances and several alerts arrived late.,1,3
I recently started managing my finances independently and found the account verification process confusing.,1,3
I use assistive technology and the mobile app update temporarily affected compatibility.,1,3
"My only nearby branch was closed for maintenance, making routine banking more difficult.",1,3
I depend on automatic deposits and became worried when my balance was temporarily unavailable.,1,3
I have limited English proficiency and needed multiple calls to understand account instructions.,1,3
I use public transportation and had to visit several ATMs before finding one that was working.,1,3
I recently opened my first bank account and received conflicting information about activation steps.,1,3
I rely on online banking because of a disability and the website was temporarily inaccessible.,1,3
As an elderly customer I had difficulty resetting my password after a routine security update.,1,3
"I am an elderly widow who depends entirely on my pension, and unauthorized debit card transactions of $600 have left me unable to buy groceries while the investigation is still pending.",3,5
"I receive disability benefits and my checking account was temporarily frozen for fraud verification, leaving me without access to my monthly income for three days.",3,5
"I am a single parent living paycheck to paycheck, and an incorrect overdraft fee caused me to postpone buying medication for my child.",3,5
"I rely on government assistance, and a duplicate payment hold reduced my available balance for almost a week.",3,5
"As a visually impaired customer, I was unable to access online banking after an update and could not verify whether my rent payment had gone through.",3,5
I recently lost my job and a delayed payroll deposit meant I could not pay my utility bill on time.,3,5
"My only source of income is Social Security, and the bank incorrectly placed a hold on my deposit for several days.",3,5
"I am an elderly customer and my debit card stopped working while traveling for medical treatment, leaving me unable to access cash immediately.",3,5
"I depend entirely on mobile banking because of limited mobility, and my account was locked during identity verification for multiple days.",3,5
I receive disability income and a mistaken duplicate transaction temporarily consumed most of my available balance.,3,5
"A fraudulent personal loan for over $20,000 was opened in my name, severely damaging my credit and preventing me from obtaining housing.",5,3
My mortgage servicer incorrectly initiated foreclosure proceedings even though all payments had been made on time.,5,3
"Multiple unauthorized wire transfers emptied my business and personal accounts, causing losses exceeding $30,000.",5,3
"My identity was stolen and several credit cards and loans were opened in my name, resulting in collections notices and legal action.",5,3
"The bank repeatedly failed to stop fraudulent withdrawals despite multiple reports, resulting in the loss of nearly all my savings.",5,3
An incorrect default reported to the credit bureau caused my mortgage application to be denied after months of preparation.,5,3
"My checking account was permanently closed without notice while a large insurance settlement was being deposited, leaving the funds inaccessible.",5,3
A servicing error caused my home to be sold at foreclosure auction even though I was enrolled in a payment plan.,5,3
The bank transferred my life savings to another account because of an internal error and has not recovered the funds after several weeks.,5,3
Repeated unauthorized ACH withdrawals caused my account to become overdrawn and resulted in multiple returned payments.,5,3
"Unauthorized charges totaling $2,500 appeared on my credit card and the dispute has remained unresolved for over a month.",4,2
"The bank incorrectly reported several missed loan payments, significantly lowering my credit score before correcting the mistake.",4,2
"My checking account was frozen for a week because of an internal compliance review, preventing me from paying rent.",4,2
"A large wire transfer was delayed because of a processing error, causing me to lose a home purchase opportunity.",4,2
The bank processed duplicate mortgage payments totaling several thousand dollars before reversing one transaction.,4,2
A fraudulent debit card transaction emptied my vacation savings and reimbursement has taken over three weeks.,4,2
"My auto loan payment was repeatedly applied to another customer, generating collection notices despite my timely payments.",4,2
An internal banking error prevented my payroll deposit from being credited for five business days.,4,2
"The bank failed to honor a stop payment request, resulting in a significant unauthorized withdrawal.",4,2
"My account information was mistakenly disclosed to another customer, exposing sensitive financial details.",4,2
I am an elderly customer living on a fixed income and a duplicate pending charge temporarily reduced my grocery budget.,2,4
"I receive disability benefits and my replacement debit card arrived four days later than expected, making daily purchases difficult.",2,4
"As a recent immigrant unfamiliar with banking procedures, I struggled for days to resolve a mistaken maintenance fee.",2,4
"I rely on online banking because I cannot easily travel, and my account was unavailable for several hours.",2,4
I am a college student with limited funds and a delayed transfer forced me to postpone paying for textbooks.,2,4
"My only source of income is a monthly pension, and an ATM malfunction delayed access to cash for two days.",2,4
"I have limited vision and a mobile app update removed accessibility features, making routine banking difficult.",2,4
"I rely on automatic bill payments because of a disability, and a system outage caused uncertainty about whether payments would process.",2,4
"As a low-income customer, a temporary authorization hold reduced my available balance enough to delay essential purchases.",2,4
I use public assistance benefits and a delayed mobile deposit forced me to wait several days before accessing funds.,2,4
"My mortgage servicer repeatedly lost my payment documents, causing late fees and placing my loan modification at risk while I care for my disabled spouse.",5,5
"I rely entirely on disability benefits and my bank closed my checking account without notice, preventing access to medication money for over a week.",5,5
"My student loan servicer incorrectly marked my account as delinquent, causing wage garnishment notices while I am unemployed and supporting two children.",5,5
"My auto lender repossessed my vehicle despite receiving every payment, leaving me unable to travel to life-saving medical treatments.",5,5
"The bank rejected my pension deposits for two consecutive months because of an internal error, leaving me without any income.",5,5
Debt collectors continue calling multiple times every day despite court documentation proving the debt was discharged in bankruptcy.,5,5
"My escrow account was mishandled, resulting in unpaid property taxes and a tax lien while I live on a fixed retirement income.",5,5
My savings account containing emergency surgery funds was frozen for fraud review for three weeks with no updates.,5,5
My remittance transfer of my family's monthly living expenses disappeared and the provider has not located the funds for over a month.,5,5
My paycheck direct deposits have been rejected repeatedly because of an account error and I cannot pay rent or utilities.,5,5
"A payday lender withdrew money from my account six times after the loan was fully repaid, leaving my balance negative.",5,5
"My credit card company reduced my limit to zero without notice while I was hospitalized, preventing payment for prescriptions.",5,5
"The bank incorrectly reported my business loan as defaulted, causing every financing application to be denied while my company is failing.",5,5
"My mortgage payments have disappeared three separate times despite proof of payment, and I keep receiving acceleration notices.",5,5
My retirement account distribution was sent to the wrong account and has still not been recovered after several weeks.,5,5
My loan servicer charged thousands in unauthorized fees and refuses to provide an explanation while threatening collections.,5,5
The bank placed an indefinite hold on insurance settlement funds needed for rebuilding my home after a natural disaster.,5,5
My disability pension was deposited into a closed account and the bank has not returned the funds after multiple complaints.,5,5
A debt buyer is attempting to collect the same medical debt from me despite multiple court dismissals.,5,5
My escrow shortage was created entirely by servicing errors and now I face impossible monthly payments on a fixed income.,5,5
"My mortgage servicer incorrectly applied my payments for several months, resulting in serious delinquency notices.",4,4
"My auto loan payments were repeatedly credited to another customer, damaging my credit score while I work multiple jobs.",4,4
"The bank delayed releasing funds from a cashier's check for two weeks, forcing me to postpone a major surgery payment.",4,4
"A student loan servicer placed me in the wrong repayment plan, increasing my monthly payment beyond what I can afford.",4,4
The debt collector continues contacting my employer even after I disputed the account.,4,4
"My checking account was frozen for compliance review, preventing payment of childcare expenses for several days.",4,4
The bank processed duplicate ACH withdrawals totaling several thousand dollars before acknowledging the mistake.,4,4
My remittance transfer arrived to the wrong recipient and customer service has not resolved the issue after three weeks.,4,4
My savings account accrued incorrect maintenance fees every month despite meeting the minimum balance requirement.,4,4
"My BNPL provider reported missed payments that never occurred, lowering my credit score significantly.",4,4
The lender refuses to remove unnecessary force-placed insurance charges from my mortgage account.,4,4
"My pension direct deposit was delayed for five days because of a processing error, disrupting all automatic payments.",4,4
The bank repeatedly rejected valid wire transfers for my small business without providing any explanation.,4,4
My loan payoff amount changed unexpectedly and included unexplained charges that customer service cannot justify.,4,4
"The credit card company closed my account during an active billing dispute, affecting my available credit.",4,4
My escrow payments increased dramatically because the servicer failed to pay insurance premiums on time.,4,4
The auto lender refuses to release the vehicle title months after I completed repayment.,4,4
"The bank removed overdraft protection without notice, resulting in multiple returned payments and penalties.",4,4
A collection agency continues reporting an account as unpaid despite receiving settlement funds months ago.,4,4
"My mobile wallet froze while holding nearly all of my available money, and support has not responded for over a week.",4,4
I contacted my bank to ask whether they support instant international transfers and received the information I needed.,0,0
I reviewed the fee schedule for my checking account before deciding whether to upgrade my account type.,0,0
I successfully linked my savings account to a budgeting application without any problems.,0,0
I used the bank's mortgage calculator to estimate monthly payments and everything worked as expected.,0,0
I wanted to understand how certificate of deposit interest is calculated and customer service explained it clearly.,0,0
I enrolled in transaction alerts for my debit card and immediately received a confirmation message.,0,0
I compared different personal loan options on the bank website before making a decision.,0,0
I requested a copy of my previous year's loan statements for tax purposes and received them electronically.,0,0
I updated my employment information through online banking without any issues.,0,0
I checked whether my credit card includes travel insurance benefits and found the answer in the FAQ section.,0,0
I opened a youth savings account for my child and the process was completed smoothly.,0,0
I asked customer support about the maximum daily ATM withdrawal limit and received a clear explanation.,0,0
I verified that my recurring subscription payment had been processed successfully.,0,0
I downloaded my annual credit card spending summary for budgeting purposes.,0,0
I explored different refinance options but decided not to proceed.,0,0
I confirmed that my beneficiary information was updated correctly after reviewing my profile.,0,0
I visited a branch to inquire about safe deposit box availability and received helpful information.,0,0
I activated biometric login on the banking app without experiencing any problems.,0,0
I requested information about wire transfer cutoff times and received an immediate response.,0,0
I compared cashback categories across different credit cards before applying.,0,0
I reviewed my investment account allocations and did not identify any issues.,0,0
I updated my communication preferences to receive paper statements again.,0,0
I verified my mobile number for two-factor authentication successfully.,0,0
I asked whether early repayment penalties apply to my auto loan and received clarification.,0,0
I confirmed that my monthly automatic savings transfer was scheduled correctly.,0,0
The bank website loaded slowly while I was checking current exchange rates but eventually displayed the information.,1,1
I had to refresh the investment dashboard because portfolio values were delayed by a few minutes.,1,1
"The ATM receipt printer was out of paper, so I checked my balance through the mobile app instead.",1,1
A promotional savings rate expired sooner than I expected because I misunderstood the advertised dates.,1,1
I accidentally selected the wrong account when transferring money but cancelled the transaction immediately.,1,1
The QR code payment took longer than usual to process although it completed successfully.,1,1
I received duplicate notifications for a single debit card purchase but only one transaction appeared on my account.,1,1
The online loan application timed out once and I had to enter my information again.,1,1
I waited longer than expected for live chat support regarding a rewards program question.,1,1
The bank sent two identical replacement card confirmation emails within a few minutes.,1,1
"A scheduled maintenance message appeared while I was reviewing recent transactions, delaying me briefly.",1,1
The branch queue was longer than expected when I visited to request cashier's checks.,1,1
I noticed that my cashback rewards updated one day later than usual.,1,1
The spending insights section categorized one restaurant purchase incorrectly but the transaction amount was accurate.,1,1
I received a reminder about an upcoming loan payment even though I had already scheduled autopay.,1,1
The mobile wallet asked me to verify my device again after an app update.,1,1
My investment account performance chart displayed yesterday's values until I refreshed the page.,1,1
The bank's currency converter rounded values differently than another website I used.,1,1
A scheduled credit limit increase review took a few extra days without affecting my account.,1,1
The contactless payment terminal declined my first attempt but worked on the second try.,1,1
The rewards redemption page temporarily displayed an error before loading normally.,1,1
I received an SMS verification code several minutes later than expected while signing in.,1,1
The branch appointment system offered fewer available time slots than I expected.,1,1
"A check image was slightly blurry when I downloaded it from online banking, although it remained readable.",1,1
My digital card appeared inactive for a few minutes immediately after I created it before becoming available.,1,1
The auto loan payoff calculator required me to reload the page before generating an estimate.,1,1
I am an elderly customer and I wanted help understanding the interest earned on my savings account before renewing my deposit.,0,3
I receive disability benefits and called to confirm that my monthly direct deposit schedule would not change.,0,3
I recently immigrated and needed clarification on the difference between a debit card and an ATM card.,0,3
I rely on public transportation and wanted to know the nearest branch with wheelchair access.,0,3
I am a college student living on a small stipend and asked whether my account qualifies for student fee waivers.,0,3
I wanted to verify that my pension beneficiary information was correctly recorded after updating it online.,0,3
"Because I have limited vision, I asked whether account statements are available in large print.",0,3
I receive government assistance and contacted support to understand mobile deposit limits.,0,3
I recently lost my spouse and wanted information about changing ownership on our joint account.,0,3
I depend on my checking account for monthly benefits and asked about holiday processing schedules.,0,3
I am unfamiliar with online banking and requested instructions for setting up bill payments.,0,3
As a senior citizen I wanted to know whether signature verification is required for cashier's checks.,0,3
I recently moved into assisted living and needed information about updating my mailing address.,0,3
I rely on my daughter to manage finances and wanted to understand how to grant account access.,0,3
I contacted the bank to confirm that international ATM withdrawals are supported before traveling for medical treatment.,0,3
My retirement account distribution was mistakenly sent to another institution and I have been unable to recover the funds for weeks while living on a fixed income.,5,4
My mortgage servicer added thousands of dollars in unexplained fees and denied my appeal despite complete payment records.,5,4
"The bank repeatedly rejected payroll deposits, leaving my family without income for an entire month.",5,4
An auto lender repossessed my only vehicle even though every payment was made on time and documented.,5,4
"My small business operating account was permanently frozen without explanation, preventing employee payroll.",5,4
The loan servicer incorrectly accelerated my mortgage balance and began legal collection proceedings.,5,4
My remittance provider lost funds intended for emergency surgery overseas and has not located the transfer after six weeks.,5,4
The bank issued duplicate wire transfers totaling my life savings and refuses to acknowledge the error.,5,4
My pension deposits have been redirected incorrectly for three consecutive months despite repeated complaints.,5,4
A debt collector continues garnishing my wages after the debt was legally satisfied and documented.,5,4
My escrow account errors caused insurance cancellation and major financial losses after storm damage.,5,4
"My investment account was liquidated without authorization during market volatility, causing significant losses.",5,4
"The lender reported my paid loan as charged off, resulting in multiple credit denials and employment problems.",5,4
"The bank repeatedly processed duplicate mortgage withdrawals, leaving my family unable to pay essential expenses.",5,4
"My business line of credit was terminated because of an internal error, forcing permanent closure of my company.",5,4
I rely on disability income and wanted confirmation that paper statements would continue arriving by mail.,0,4
I am elderly and asked customer service how to activate voice banking features on my account.,0,4
"Because English is not my first language, I requested translated information about savings account features.",0,4
I use a wheelchair and wanted to know which nearby branches have accessible entrances.,0,4
I receive a monthly pension and called to understand how account alerts work.,0,4
I recently became the guardian of my elderly parent and wanted information about managing their checking account.,0,4
I depend on automatic medication deliveries and asked whether debit card expiration affects recurring payments.,0,4
I have low vision and requested electronic statements compatible with screen readers.,0,4
I recently opened my first bank account and wanted help understanding overdraft protection options.,0,4
I receive survivor benefits and called to verify that my direct deposit instructions were correctly updated.,0,4
I rely entirely on online banking because I cannot travel and wanted assistance setting up biometric login.,0,4
As a recent refugee I asked for guidance on opening a basic savings account without a credit history.,0,4
I wanted information about assigning a trusted contact to help manage my retirement account.,0,4
I depend on government benefits and asked whether holiday closures affect scheduled deposits.,0,4
I recently entered assisted living and requested information about adding a family member as an authorized signer.,0,4
"My mortgage servicer lost every payment I made during a loan modification trial, started foreclosure proceedings, and I am a disabled veteran living only on pension income.",5,5
"My bank froze my only checking account without notice, trapping my disability benefits and leaving me unable to buy insulin or pay for transportation to dialysis appointments.",5,5
My student loan servicer incorrectly placed me in default and began wage garnishment while I am unemployed and caring for a child with special medical needs.,5,5
"An auto lender repossessed my adapted wheelchair-accessible vehicle even though every payment was made on time, leaving me unable to attend medical treatment.",5,5
"My retirement account distribution disappeared during processing, and as an elderly widow this money is my only source of income for food and medication.",5,5
"The bank repeatedly rejected my employer's direct deposits for over a month, leaving my family without income while I am recovering from major surgery.",5,5
"A payday lender continues withdrawing money from my account after the loan was repaid, causing every utility payment to bounce while I rely on government assistance.",5,5
"My escrow account failed to pay homeowner's insurance and my claim after a hurricane was denied, leaving me with severe property damage and no financial resources.",5,5
My remittance provider lost money sent for my parent's emergency heart surgery overseas and has provided no resolution after six weeks.,5,5
My savings account containing all of my cancer treatment funds was frozen indefinitely for verification despite repeated documentation requests.,5,5
The bank closed my account by mistake and returned my monthly Social Security payments while I live alone and have no alternative income.,5,5
A debt collector is garnishing my disability payments for a debt that was legally discharged years ago despite multiple court orders.,5,5
"My mortgage servicer added over $20,000 in unexplained fees and denied every appeal while threatening immediate foreclosure on my family's only home.",5,5
"My investment account was liquidated during a market crash without authorization, eliminating nearly all of my retirement savings.",5,5
"My business account was permanently frozen during an investigation, preventing payroll for employees and leaving my family business on the verge of bankruptcy.",5,5
"The bank repeatedly transferred my pension deposits into a closed account, leaving me without access to income for two consecutive months.",5,5
